,HARGA,LT,LB,JKT,JKM,GRS,KOTA
0,28000000000,1100,700,5,6,1,BADUNG
1,19000000000,824,800,4,4,1,BADUNG
2,4700000000,500,400,4,3,1,BADUNG
3,4900000000,251,300,5,4,1,BADUNG
4,28000000000,1340,575,4,5,1,BADUNG
5,10000000000,460,300,4,4,1,BADUNG
6,7600000000,278,350,4,4,1,BADUNG
7,5250000000,511,300,3,2,1,BADUNG
8,670000000,70,69,3,2,0,BADUNG
9,480000000,66,42,2,1,0,BADUNG
10,10700000000,449,500,6,7,1,BADUNG
11,4200000000,109,188,2,3,1,BADUNG
12,8500000000,320,250,4,4,1,BADUNG
13,7000000000,384,400,4,4,1,BADUNG
14,20000000000,462,645,5,6,1,BADUNG
15,9500000000,212,300,4,4,1,BADUNG
16,13400000000,342,450,5,4,1,BADUNG
17,11000000000,410,700,4,4,1,BADUNG
18,5800000000,144,285,4,3,1,BADUNG
19,35000000000,985,400,4,3,1,BADUNG
20,14000000000,780,500,3,4,1,BADUNG
21,5000000000,217,450,4,4,1,BADUNG
22,40000000000,1500,700,4,4,1,BADUNG
23,7250000000,210,300,4,3,1,BADUNG
24,5200000000,110,200,3,3,1,BADUNG
25,25000000000,760,650,4,4,1,BADUNG
26,5680000000,151,245,3,3,1,BADUNG
27,10500000000,220,350,4,3,1,BADUNG
28,7050000000,128,315,3,3,1,BADUNG
29,9300000000,235,270,3,3,0,BADUNG
30,6500000000,100,250,4,3,1,BADUNG
31,68000000000,470,1000,5,5,1,BADUNG
32,3000000000,75,150,4,2,1,BADUNG
33,85000000000,770,500,4,4,1,BADUNG
34,19500000000,610,1000,6,5,1,BADUNG
35,20900000000,754,500,4,4,1,BADUNG
36,15500000000,440,350,4,3,1,BADUNG
37,14000000000,410,800,4,4,1,BADUNG
38,39000000000,973,1100,4,3,1,BADUNG
39,8000000000,251,320,4,4,1,BADUNG
40,20000000000,780,600,4,4,1,BADUNG
41,17500000000,954,600,4,3,1,BADUNG
42,34000000000,1186,900,6,5,1,BADUNG
43,7500000000,186,380,4,4,1,BADUNG
44,18500000000,358,500,4,5,1,BADUNG
45,5000000000,217,200,4,3,1,BADUNG
46,16000000000,535,600,4,4,1,BADUNG
47,13000000000,330,500,3,3,1,BADUNG
48,8000000000,250,320,4,3,1,BADUNG
49,17500000000,477,530,4,4,1,BADUNG
50,10500000000,282,450,4,4,1,BADUNG
51,35500000000,1312,850,5,4,1,BADUNG
52,16000000000,860,500,4,4,1,BADUNG
53,11700000000,246,347,4,3,1,BADUNG
54,18500000000,443,450,4,3,1,BADUNG
55,17500000000,389,400,4,3,1,BADUNG
56,6500000000,300,450,4,3,1,BADUNG
57,18500000000,433,600,4,4,1,BADUNG
58,25000000000,987,400,4,3,1,BADUNG
59,23000000000,817,500,6,4,1,BADUNG
60,12990000000,876,428,5,4,1,BADUNG
61,15000000000,887,300,3,2,1,BADUNG
62,13000000000,384,425,5,4,1,BADUNG
63,33000000000,458,400,4,4,1,BADUNG
64,9500000000,200,235,3,3,1,BADUNG
65,5750000000,144,285,4,4,1,BADUNG
66,19000000000,358,600,4,5,0,BADUNG
67,19000000000,550,480,4,4,1,BADUNG
68,21500000000,950,300,5,4,1,BADUNG
69,5200000000,164,140,3,3,1,BADUNG
70,14000000000,460,400,4,3,1,BADUNG
71,55000000000,1487,1200,6,4,1,BADUNG
72,6250000000,158,400,4,2,1,BADUNG
73,29000000000,1186,800,9,8,1,BADUNG
74,8000000000,323,317,5,4,1,BADUNG
75,8500000000,502,250,4,4,1,BADUNG
76,18000000000,916,147,5,7,1,BADUNG
77,4500000000,109,188,2,3,1,BADUNG
78,10000000000,395,450,5,5,1,BADUNG
79,4250000000,152,275,3,3,1,BADUNG
80,4500000000,138,250,5,4,0,BADUNG
81,2800000000,100,150,3,3,0,BADUNG
82,15000000000,2010,800,4,3,1,BADUNG
83,7800000000,188,367,3,3,1,BADUNG
84,21000000000,500,525,4,5,1,BADUNG
85,38000000000,1229,800,4,4,1,BADUNG
86,29950000000,1000,600,4,4,1,BADUNG
87,7500000000,350,350,6,6,0,BADUNG
88,25000000000,987,400,4,3,0,BADUNG
89,36000000000,626,500,5,3,1,BADUNG
90,20000000000,472,650,6,5,0,BADUNG
91,29000000000,1186,600,8,9,0,BADUNG
92,5500000000,234,115,2,2,1,BADUNG
93,16590000000,405,495,4,4,1,BADUNG
94,33500000000,1000,800,5,6,0,BADUNG
95,21000000000,802,904,4,3,1,BADUNG
96,7720000000,125,298,4,4,1,BADUNG
97,22000000000,1019,650,4,3,1,BADUNG
98,18500000000,180,600,4,4,1,BADUNG
99,16500000000,933,600,5,5,1,BADUNG
100,11980000000,241,572,4,5,1,BADUNG
101,8500000000,250,250,4,4,1,BADUNG
102,7700000000,190,350,3,2,1,BADUNG
103,4200000000,270,300,4,4,1,BADUNG
104,15700000000,860,325,5,4,1,BADUNG
105,17000000000,916,147,5,7,1,BADUNG
106,8000000000,323,317,5,4,1,BADUNG
107,9550000000,251,288,3,3,1,BADUNG
108,7600000000,278,350,4,4,1,BADUNG
109,10200000000,320,360,6,4,1,BADUNG
110,5900000000,240,350,4,4,1,BADUNG
111,6000000000,178,309,4,3,1,BADUNG
